Data run ended at:  Thursday, April 15, 2021	1:35:47 AM
Total number of sweeps:  11209717	live time (sec):  224194.340000	real time (sec):  259208.184000


time (sec)	counts
1.466000E-2	8.369200E+4
1.468000E-2	8.322200E+4
1.470000E-2	8.329200E+4
1.472000E-2	8.290500E+4
1.474000E-2	8.355200E+4
1.476000E-2	8.376900E+4
1.478000E-2	8.342300E+4
1.480000E-2	8.322000E+4
1.482000E-2	8.351700E+4
1.484000E-2	8.354600E+4
1.486000E-2	8.356200E+4
1.488000E-2	8.318200E+4
1.490000E-2	8.330000E+4
1.492000E-2	8.313900E+4
1.494000E-2	8.330000E+4
1.496000E-2	8.409100E+4
1.498000E-2	8.408800E+4
1.500000E-2	8.325100E+4
1.502000E-2	8.330600E+4
1.504000E-2	8.324100E+4
1.506000E-2	8.353400E+4
1.508000E-2	8.275000E+4
1.510000E-2	8.309300E+4
1.512000E-2	8.382100E+4
1.514000E-2	8.306500E+4
1.516000E-2	8.346600E+4
1.518000E-2	8.299800E+4
1.520000E-2	8.357000E+4
1.522000E-2	8.294100E+4
1.524000E-2	8.337100E+4
1.526000E-2	8.358000E+4
1.528000E-2	8.287700E+4
1.530000E-2	8.376700E+4
1.532000E-2	8.293100E+4
1.534000E-2	8.336800E+4
1.536000E-2	8.380800E+4
1.538000E-2	8.370900E+4
1.540000E-2	8.337700E+4
1.542000E-2	8.348300E+4
1.544000E-2	8.330700E+4
1.546000E-2	8.337000E+4
1.548000E-2	8.297000E+4
1.550000E-2	8.367400E+4
1.552000E-2	8.368300E+4
1.554000E-2	8.401700E+4
1.556000E-2	8.391800E+4
1.558000E-2	8.429600E+4
1.560000E-2	8.384500E+4
1.562000E-2	8.385800E+4
1.564000E-2	8.352000E+4
1.566000E-2	8.379700E+4
1.568000E-2	8.326700E+4
1.570000E-2	8.344500E+4
1.572000E-2	8.364700E+4
1.574000E-2	8.356400E+4
1.576000E-2	8.333100E+4
1.578000E-2	8.356600E+4
1.580000E-2	8.386500E+4
1.582000E-2	8.336200E+4
1.584000E-2	8.359400E+4
1.586000E-2	8.351300E+4
1.588000E-2	8.327600E+4
1.590000E-2	8.356400E+4
1.592000E-2	8.358000E+4
1.594000E-2	8.403000E+4
1.596000E-2	8.366800E+4
1.598000E-2	8.367500E+4
1.600000E-2	8.276100E+4
1.602000E-2	8.363600E+4
1.604000E-2	8.386700E+4
1.606000E-2	8.359100E+4
1.608000E-2	8.363600E+4
1.610000E-2	8.343600E+4
1.612000E-2	8.426400E+4
1.614000E-2	8.328900E+4
1.616000E-2	8.350400E+4
1.618000E-2	8.349900E+4
1.620000E-2	8.325200E+4
1.622000E-2	8.369900E+4
1.624000E-2	8.363500E+4
1.626000E-2	8.352600E+4
1.628000E-2	8.342400E+4
1.630000E-2	8.302300E+4
1.632000E-2	8.321300E+4
1.634000E-2	8.286100E+4
1.636000E-2	8.298200E+4
1.638000E-2	8.354400E+4
1.640000E-2	8.379200E+4
1.642000E-2	8.323700E+4
1.644000E-2	8.321600E+4
1.646000E-2	8.357000E+4
1.648000E-2	8.322600E+4
1.650000E-2	8.342400E+4
1.652000E-2	8.364100E+4
1.654000E-2	8.356600E+4
1.656000E-2	8.344800E+4
1.658000E-2	8.296700E+4
1.660000E-2	8.321200E+4
1.662000E-2	8.305300E+4
1.664000E-2	8.362800E+4
1.666000E-2	8.365000E+4
1.668000E-2	8.268700E+4
1.670000E-2	8.335100E+4
1.672000E-2	8.336400E+4
1.674000E-2	8.295100E+4
1.676000E-2	8.355600E+4
1.678000E-2	8.291200E+4
1.680000E-2	8.354100E+4
1.682000E-2	8.276900E+4
1.684000E-2	8.286700E+4
1.686000E-2	8.335300E+4
1.688000E-2	8.304100E+4
